Test name: automated_syber,,,,,,,,,,,,,,,,,,,,,,,
Date: 13/06/2022 Time: 13:45:08,,,,,,,,,,,,,,,,,,,,,,,
ID1: plate_5,,,,,,,,,,,,,,,,,,,,,,,
ID2: ,,,,,,,,,,,,,,,,,,,,,,,
ID3: ,,,,,,,,,,,,,,,,,,,,,,,
No. of Channels / Multichromatics: 1,,,,,,,,,,,,,,,,,,,,,,,
No. of Cycles: 1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Chromatic: 1,,,,,,,,,,,,,,,,,,,,,,,
Cycle: 1,,,,,,,,,,,,,,,,,,,,,,,
1795,2333,2973,3096,3806,3636,3546,3484,4131,3725,4256,4015,4098,3937,4052,3897,4068,4049,4268,3913,4072,3525,3026,1964
2893,1030,1071,1348,1789,2462,5090,5733,5576,5428,5490,5598,858,766,739,750,763,839,1279,5238,5398,5446,5456,2970
3963,937,1086,1258,1869,2192,4380,5867,6201,6050,6100,5698,820,731,742,733,742,799,1229,4787,5343,5436,5333,3732
4375,787,794,764,794,852,1231,4778,5700,5836,4836,5703,844,969,1033,1062,1310,1561,2555,4086,5584,5648,5507,4482
4977,750,752,761,774,821,1170,4809,5835,5842,5596,6008,772,1111,1103,1257,1363,1776,2432,4424,5104,5302,5564,4471
4963,1064,1128,1141,1365,1557,2588,4170,5545,5792,5454,5508,808,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
5315,1165,1198,1245,1410,1792,2347,4192,5121,5063,5368,5800,809,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
4993,873,1044,1159,1725,1947,5484,5861,5448,5633,5562,5255,828,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
5459,957,1059,1230,1717,2147,5323,5281,5329,5364,5335,5442,825,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
4860,728,708,717,720,793,1263,4952,5412,5869,5551,5057,810,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
5160,746,720,734,754,844,1327,4592,5417,5238,5544,5611,807,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
4677,1228,1218,1346,1481,1932,2532,4397,5384,5395,5196,5299,812,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
5051,1038,1071,1104,1346,1500,2438,3992,5314,5573,5107,5861,844,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
4155,991,1070,1238,1751,2152,4559,5079,5311,5299,5540,5558,885,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
3350,906,1063,1156,1658,1952,5521,5485,5466,5382,5498,5888,833,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
1893,1190,1177,1329,1482,1959,2646,4410,5052,5242,5282,4785,833,5698,5703,6008,5508,5800,5255,5442,5057,5611,5299,5861
